insertId,jsonPayload.extra.duration,jsonPayload.extra.statusCode,jsonPayload.extra.url,jsonPayload.message,jsonPayload.module,jsonPayload.user_id,"labels.""compute.googleapis.com/resource_name""","labels.""k8s-pod/app_kubernetes_io/instance""","labels.""k8s-pod/app_kubernetes_io/name""","labels.""k8s-pod/pod-template-hash""","labels.""k8s-pod/role""",logName,receiveTimestamp,resource.labels.cluster_name,resource.labels.container_name,resource.labels.location,resource.labels.namespace_name,resource.labels.pod_name,resource.labels.project_id,resource.type,severity,timestamp,trace
1kvwu3fg49hzww6,0.228511,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344004258_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:53:48.013926442Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4dlrp,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:53:46.292269593Z,projects/passculture-metier-prod/traces/0f2e6d874ae36990b27b2717449fe98e
bxl6tyg2sblgfn,0.05508,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344001844_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:53:08.049515003Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-xmkgj,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:53:04.828765478Z,projects/passculture-metier-prod/traces/8427a61c079751e54acde96b56a73418
1xdr2x0g4e201me,0.166914,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344001844_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:52:48.012929650Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-xmkgj,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:52:44.986844161Z,projects/passculture-metier-prod/traces/245a85a8837fb25da03d472f9fc0f16f
2i0gw7g42olgfz,0.072683,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723499361_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-d01006a7-url0,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:51:49.017661109Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4nvjt,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:51:47.426548657Z,projects/passculture-metier-prod/traces/c0379b38ec9464e3176eaaef098d3fd3
1c0nqt8g4juztsb,0.288375,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723499361_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-1d9bbe60-3o17,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:51:25.017004218Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-w64qp,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:51:24.776139674Z,projects/passculture-metier-prod/traces/7d1e91f1ef35caa91c962642362370b0
1m06ln6g40ejuc5,0.277741,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723499354_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-d01006a7-url0,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:50:54.014194990Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4nvjt,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:50:51.950572075Z,projects/passculture-metier-prod/traces/b26b54c664557ca45d222e46b9abaa5d
1xnpo65g49btkps,0.26508,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723499354_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-1d9bbe60-3o17,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:50:35.034116671Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-w64qp,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:50:31.952943148Z,projects/passculture-metier-prod/traces/49ab58051328938edbbf47735496cfc4
963b5if5acc5e,0.082413,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723498296_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-d01006a7-7wer,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:49:04.013122969Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-42vpx,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:49:02.506813901Z,projects/passculture-metier-prod/traces/01989b12c816ec67997ac10d46e5d794
1ndx329g40z3owb,0.094193,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723498296_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:48:53.058286664Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-xmkgj,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:48:50.050728508Z,projects/passculture-metier-prod/traces/47b2e50527711c17ba1a148cf1684bb5
1ndtg5lg49hb66w,0.080281,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723498296_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:45:53.010461276Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-xmkgj,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:45:48.252215106Z,projects/passculture-metier-prod/traces/1921ba12e7a66cd24e01bf65d66d2812
